Reporting Date,Sale Month,Store,Artist,Title,ISRC,UPC,Quantity,Team Percentage,Song/Album,Country of Sale,Songwriter Royalties Withheld,Earnings (USD)
2023-01-13,2022-10,YouTube (Red),Lamanna,Djinni (feat. EarZen),QZNWS2159385,196511778979.0,1,100,Song,US,0,0.005369
2023-01-13,2022-10,YouTube (Ads),Lamanna,Heavenly Winds,QZFZ72285506,196777794812.0,1,100,Song,CA,0,0.006793
2023-01-13,2022-10,YouTube (Red),Lamanna,Fly,QZRP52126677,196620205946.0,1,100,Song,US,0,0.005369
2023-01-11,2022-10,Amazon Unlimited (Streaming),Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196399899834.0,1,100,Song,US,0,0.00761789
2023-01-13,2022-10,YouTube (Ads),Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196399899834.0,1,100,Song,US,0,0.005763
2023-01-13,2022-10,YouTube (Red),Lamanna,Bella Ciao (feat. Jay Aitch),QZNWQ2133345,196399899834.0,1,100,Song,US,0,0.015538
2023-01-13,2022-10,YouTube (Red),Lamanna,Back and Forth (feat. MO$H),QZHN32293725,196833931090.0,1,100,Song,PH,0,0.001324
2023-01-13,2022-10,YouTube (Red),Lamanna,Reasons,QZFYZ2046816,195068814321.0,1,100,Song,US,0,0.005369
2023-01-13,2022-10,YouTube (Ads),Lamanna,Stamina (feat. Vibe Tyson),QZHNA2023074,195397652229.0,2,100,Song,DE,0,0.009042
2023-01-13,2022-10,YouTube (Red),Lamanna,Playground (feat. Valekis),QZDA52287587,196777035953.0,1,100,Song,PH,0,0.001324
2023-01-13,2022-10,YouTube (Red),Lamanna,Missed Calls (feat. Lukexi),QZK6Q1997340,194997843952.0,1,100,Song,US,0,0.005369
2023-01-20,2022-11,TikTok,Lamanna,Wife,QZMER2160753,196400294481.0,1,100,Song,US,0,0.00113142
2023-01-27,2022-11,Spotify,Lamanna,Wife,QZMER2160753,196400294481.0,1,100,Song,CA,0,0.00224692
2023-01-27,2022-11,Spotify,Lamanna,Wife,QZMER2160753,196400294481.0,1,100,Song,DE,0,0.00520437
2023-01-27,2022-11,Spotify,Lamanna,Wife,QZMER2160753,196400294481.0,1,100,Song,GB,0,0.0065988
2023-01-27,2022-11,Spotify,Lamanna,Wife,QZMER2160753,196400294481.0,3,100,Song,US,0,0.005943
2023-01-31,2022-11,Apple Music,Lamanna,Wife,QZMER2160753,196400294481.0,1,100,Song,US,0,0.00422529
2023-01-27,2022-11,Spotify,Lamanna,Vibe,QZFZ42227475,196700559433.0,2,100,Song,GB,0,0.01319761
2023-01-27,2022-11,Spotify,Lamanna,Vibe,QZFZ42227475,196700559433.0,5,100,Song,US,0,0.011743
2023-01-27,2022-11,Spotify,Lamanna,Sprouts,QZPLR2190079,196621531761.0,2,100,Song,DE,0,0.01040875
2023-01-27,2022-11,Spotify,Lamanna,Sprouts,QZPLR2190079,196621531761.0,7,100,Song,US,0,0.015704
2023-01-31,2022-11,Apple Music,Lamanna,Sprouts,QZPLR2190079,196621531761.0,1,100,Song,US,0,0.00809756
2023-01-27,2022-11,Spotify,Lamanna,Love Me or Not,QZTAT2127272,196623349227.0,1,100,Song,DE,0,0.00520437
2023-01-27,2022-11,Spotify,Lamanna,Love Me or Not,QZTAT2127272,196623349227.0,1,100,Song,GB,0,0.0065988
2023-01-27,2022-11,Spotify,Lamanna,Love Me or Not,QZTAT2127272,196623349227.0,2,100,Song,US,0,0.005187
2023-01-27,2022-11,Spotify,Lamanna,Rockstar (feat. Lukexi),QZFZ52089611,195162203441.0,1,100,Song,US,0,0.001981
2023-01-27,2022-11,Spotify,Lamanna,Winner,QZTAS2142078,196623599677.0,1,100,Song,DE,0,0.00520437
2023-01-27,2022-11,Spotify,Lamanna,Winner,QZTAS2142078,196623599677.0,1,100,Song,GB,0,0.0065988
2023-01-27,2022-11,Spotify,Lamanna,Winner,QZTAS2142078,196623599677.0,1,100,Song,US,0,0.003739
2023-01-27,2022-11,Spotify,Lamanna,Crazy Baby (feat. EarZen),QZRP42103233,196833204514.0,1,100,Song,US,0,0.001981
2023-01-27,2022-11,Spotify,Lamanna,Crazy Baby (feat. EarZen),QZRP42103233,196833204514.0,6,100,Song,US,0,0.017032
